# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.000000e+00
# Aref        : 7.591940e+03
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-9.245941e-01	7.431931e+00	1.449171e-01	-8.521356e-01	9.970526e-01
2             	-1.749388e+00	8.112619e+00	2.746980e-01	-1.612039e+00	1.886737e+00
3             	-1.011754e+00	4.854263e+00	3.776193e-01	-8.229448e-01	1.200564e+00
4             	4.837902e-01	-1.917893e-01	4.211353e-01	6.943579e-01	-2.732226e-01
5             	1.826118e+00	-3.752346e+00	3.212664e-01	1.986751e+00	-1.665485e+00
6             	2.067800e+00	-4.155502e+00	1.686489e-01	2.152124e+00	-1.983475e+00
7             	1.419859e+00	-2.372523e+00	-2.436010e-03	1.418641e+00	-1.421077e+00
8             	-1.405450e-01	3.157413e-01	-1.159701e-01	-1.985300e-01	8.255995e-02
9             	-1.311293e+00	2.265098e+00	-7.790207e-02	-1.350244e+00	1.272342e+00
10            	-1.386899e+00	2.618869e+00	5.316506e-02	-1.360316e+00	1.413481e+00
11            	-7.159525e-01	1.814753e+00	1.804326e-01	-6.257362e-01	8.061688e-01
12            	8.774384e-01	5.287546e-01	2.990938e-01	1.026985e+00	-7.278915e-01
13            	2.093894e+00	-4.888067e-01	3.158915e-01	2.251839e+00	-1.935948e+00
14            	2.201830e+00	-7.587740e-01	2.448007e-01	2.324230e+00	-2.079429e+00
15            	1.551711e+00	-4.102616e-01	1.526725e-01	1.628047e+00	-1.475375e+00
16            	2.019249e-01	1.835003e-01	5.111563e-02	2.274827e-01	-1.763671e-01
17            	-9.080676e-01	6.936613e-01	1.318246e-02	-9.014764e-01	9.146588e-01
18            	-1.156522e+00	8.418087e-01	4.100954e-02	-1.136017e+00	1.177027e+00
19            	-6.324228e-01	7.441482e-01	1.095195e-01	-5.776631e-01	6.871826e-01
20            	2.617359e-01	5.213575e-01	1.726956e-01	3.480837e-01	-1.753881e-01
21            	1.018886e+00	3.269876e-01	2.013122e-01	1.119543e+00	-9.182304e-01
22            	1.398552e+00	2.115772e-01	1.884749e-01	1.492790e+00	-1.304315e+00
23            	1.177544e+00	1.903143e-01	1.385122e-01	1.246800e+00	-1.108288e+00
24            	8.016608e-01	2.556576e-01	1.021539e-01	8.527377e-01	-7.505839e-01
